rep_id,first_name,last_name,rep_name,site,queue_name,department,job_role,can_transfer_departments,tenure_months,months_on_job,tenure_band,primary_skill_tag,secondary_skill_tag,primary_skill_label,secondary_skill_label,strengths,weaknesses,strain_tier,pressure_index_baseline,experiment_condition,qa_score,fcr_30d,repeat_contact_rate,aht_secs,csat_proxy,transfer_rate,escalation_rate,productivity_index,burnout_index,resilience_index,volatility_index,compliance_risk,gaming_propensity,misinformation_risk,policy_accuracy,discovery_skill,conflict_tolerance,technical_skill,credit_discipline,ownership_bias,emotional_regulation,aht_pressure_bias,strain_score,weakness_tags,strength_tags
REP00001,Sarah,Chang,Sarah Chang,NovaWireless,General Support,Call Center,Customer Service Representative,False,34,34,senior,billing_resolution,fraud_unwanted_calls,billing_support,fraud_unwanted_calls,billing_resolution|fraud_unwanted_calls|generalist,none_flagged,low,0.1359,goodhart_baseline,0.6694,0.783,0.2428,510.28,0.6605,0.0828,0.1025,0.7785,0.4105,0.9643,0.2499,0.3761,0.4258,0.1277,0.6631547260686333,0.5752753977968177,0.541625371655104,0.7065428992901754,0.4566375968992248,0.6631271037025165,0.7830553702468311,0.5296369742043923,0.3083776486939766,none,balanced
REP00002,Jacob,Butler,Jacob Butler,NovaWireless,General Support,Call Center,Customer Service Representative,False,35,35,senior,fraud_unwanted_calls,general_support,fraud_unwanted_calls,general_support,fraud_unwanted_calls|general_support|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.7095,0.7818,0.1914,521.69,0.701,0.0616,0.0565,0.7206,0.4703,0.8398,0.5673,0.3946,0.3592,0.1563,0.7838651414810356,0.7325581395348838,0.7695738354806739,0.7652438472776009,0.41182170542635654,0.5679571045039268,0.35957304869913265,0.45053809584785426,0.5921693299411386,none,policy_expert|deescalation_strong
REP00003,Gabriella,Lee,Gabriella Lee,NovaWireless,General Support,Call Center,Customer Service Representative,False,39,39,senior,billing_resolution,fraud_unwanted_calls,billing_support,fraud_unwanted_calls,billing_resolution|fraud_unwanted_calls|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.6228,0.6042,0.3545,510.71,0.7617,0.1458,0.0904,0.6176,0.4449,0.8147,0.6486,0.3992,0.4547,0.061,0.5228777844671885,0.23347613219094254,0.6015857284440039,0.3899197303918517,0.40067829457364335,0.6453418015707646,0.2511007338225484,0.5517144198612685,0.6218777817720527,discovery_gap|reactive_under_stress,balanced
REP00004,Mateo,Watson,Mateo Watson,NovaWireless,General Support,Call Center,Customer Service Representative,False,3,3,new,billing_resolution,network_service,billing_support,tech_support,billing_resolution|network_service|generalist,misinformation_risk,low,0.1359,goodhart_baseline,0.7047,0.7732,0.1778,477.19,0.6386,0.0201,0.0904,0.8469,0.2528,1.0,0.3674,0.242,0.2994,0.3362,0.769416014449127,0.7741738066095472,0.6015857284440039,0.7461637557770862,0.7814922480620154,0.6715073529411764,0.6262841894596397,0.6385442514474773,0.18124827568336757,none,thorough_probe|policy_expert
REP00005,Brianna,Clark,Brianna Clark,NovaWireless,General Support,Call Center,Customer Service Representative,False,23,23,senior,network_service,porting_transfer,tech_support,porting_support,network_service|porting_transfer|generalist,none_flagged,low,0.1359,goodhart_baseline,0.6559,0.7028,0.2144,532.54,0.6692,0.1489,0.0809,0.7743,0.2652,1.0,0.3829,0.1668,0.1585,0.0761,0.6225165562913909,0.6621787025703794,0.6486620416253717,0.5756641231967017,0.9636627906976744,0.7277573529411765,0.6056037358238825,0.6343389248234708,0.19885209000898324,none,balanced
REP00006,Drew,Wong,Drew Wong,NovaWireless,General Support,Call Center,Customer Service Representative,False,32,32,senior,fraud_unwanted_calls,general_support,fraud_unwanted_calls,general_support,fraud_unwanted_calls|general_support|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.6218,0.6932,0.2926,531.31,0.7378,0.097,0.0205,0.6803,0.3241,0.8774,0.4841,0.215,0.3118,0.1088,0.5198675496688743,0.42288861689106483,0.9479682854311199,0.5111055421352367,0.8468992248062015,0.6868303213656033,0.47058038692461635,0.5164711894634961,0.3937255499457098,none,deescalation_strong
REP00007,Ana,Cruz,Ana Cruz,NovaWireless,General Support,Call Center,Customer Service Representative,False,31,31,senior,fraud_unwanted_calls,porting_transfer,fraud_unwanted_calls,porting_support,fraud_unwanted_calls|porting_transfer|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.6178,0.6532,0.3118,540.96,0.7605,0.01,0.1039,0.6548,0.4523,0.7883,0.5488,0.3048,0.3545,0.0718,0.5078266104756172,0.3641370869033047,0.5346878097125867,0.44994308191274657,0.629360465116279,0.6071686167655072,0.3842561707805203,0.5360483265328725,0.6103145659413874,none,balanced
REP00008,Noah,Ramirez,Noah Ramirez,NovaWireless,General Support,Call Center,Customer Service Representative,False,30,30,senior,fraud_unwanted_calls,porting_transfer,fraud_unwanted_calls,porting_support,fraud_unwanted_calls|porting_transfer|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.642,0.5691,0.3529,534.03,0.7169,0.1288,0.1179,0.5971,0.3922,0.8157,0.4379,0.3627,0.3995,0.1041,0.5806742925948225,0.2383720930232559,0.4653121902874132,0.37043088768147525,0.48909883720930225,0.5643512582144573,0.5322214809873248,0.5715101637763265,0.4882754864322455,discovery_gap,balanced
REP00009,Bailey,Castillo,Bailey Castillo,NovaWireless,General Support,Call Center,Customer Service Representative,False,40,40,senior,device_support,billing_resolution,device_support,billing_support,device_support|billing_resolution|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.7148,0.6124,0.296,556.32,0.7206,0.0708,0.1322,0.6274,0.4486,0.8352,0.4431,0.4242,0.3708,0.0868,0.7998193859121011,0.412484700122399,0.39444995044598596,0.5396946391926097,0.3401162790697674,0.5977194862958808,0.5252835223482322,0.5540783731497727,0.526266968919005,credit_leak_risk,policy_expert
REP00010,Alexander,Kaur,Alexander Kaur,NovaWireless,General Support,Call Center,Customer Service Representative,False,34,34,senior,billing_resolution,fraud_unwanted_calls,billing_support,fraud_unwanted_calls,billing_resolution|fraud_unwanted_calls|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.6474,0.7084,0.2558,556.74,0.694,0.0778,0.0823,0.7085,0.4502,0.8458,0.578,0.3273,0.3027,0.1321,0.5969295605057194,0.5354957160342717,0.6417244796828543,0.5705905039914867,0.5748546511627908,0.5632638443660842,0.3452968645763842,0.5348477769587232,0.5730690423381762,reactive_under_stress,balanced
REP00011,Grace,Harris,Grace Harris,NovaWireless,General Support,Call Center,Customer Service Representative,False,4,4,new,general_support,porting_transfer,general_support,porting_support,general_support|porting_transfer|generalist,misinformation_risk,low,0.1359,goodhart_baseline,0.7787,0.8395,0.1277,545.65,0.7158,0.01,0.0638,0.8047,0.3309,1.0,0.552,0.2146,0.2129,0.315,0.9921733895243827,0.9274785801713586,0.7333994053518336,0.9489402927770797,0.8478682170542635,0.8134191176470588,0.3799866577718478,0.48829005609947707,0.32693712149170473,none,thorough_probe|policy_expert|accountability_driven
REP00012,Benjamin,Torres,Benjamin Torres,NovaWireless,General Support,Call Center,Customer Service Representative,False,69,69,senior,general_support,fraud_unwanted_calls,general_support,fraud_unwanted_calls,general_support|fraud_unwanted_calls|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.6454,0.5955,0.2648,546.24,0.6433,0.0451,0.1071,0.6425,0.3803,0.8682,0.3514,0.2709,0.2381,0.0728,0.5909090909090908,0.5079559363525092,0.5188305252725469,0.4119420006516781,0.711482558139535,0.5005830261259816,0.6476317545030019,0.5984358362951965,0.3997968592524591,none,balanced
REP00013,Carmen,Anderson,Carmen Anderson,NovaWireless,General Support,Call Center,Customer Service Representative,False,26,26,senior,billing_resolution,porting_transfer,billing_support,porting_support,billing_resolution|porting_transfer|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.5694,0.649,0.2531,549.61,0.713,0.102,0.1095,0.6598,0.4259,0.9731,0.4698,0.2615,0.2438,0.1055,0.36213124623720655,0.5437576499388005,0.5069375619425173,0.37130549077782576,0.7342538759689923,0.7716235574611314,0.4896597731821214,0.5488117362459379,0.40336053222754603,none,accountability_driven
REP00014,Megan,Mitchell,Megan Mitchell,NovaWireless,General Support,Call Center,Customer Service Representative,False,32,32,senior,general_support,network_service,general_support,tech_support,general_support|network_service|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.631,0.6581,0.311,520.46,0.6113,0.0475,0.1261,0.6514,0.4102,0.8226,0.3968,0.3798,0.3659,0.0167,0.5475617098133655,0.3665850673194615,0.42467789890981167,0.4765655254332888,0.44767441860465107,0.37963415611476187,0.5870580386924615,0.5245514522070063,0.4827321121636141,none,balanced
